"filename", "language", "JSON", "YAML", "Ignore", "JSON with Comments", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "Docker", "CSS", "Prisma", "SQL", "XML", "comment", "blank", "total"
"d:\Learn\codeEditor\apps\client\src\pages\JoinRoom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 105
"d:\Learn\codeEditor\apps\client\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Learn\codeEditor\apps\client\src\store\codeStore.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Learn\codeEditor\apps\client\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Learn\codeEditor\apps\client\src\store\userStore.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"d:\Learn\codeEditor\apps\client\src\styles\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Learn\codeEditor\apps\client\src\styles\Monaco.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"d:\Learn\codeEditor\apps\client\src\styles\editor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"d:\Learn\codeEditor\apps\client\src\styles\flexlayout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 845, 0, 0, 0, 1, 2, 848
"d:\Learn\codeEditor\apps\client\src\styles\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 12, 92
"d:\Learn\codeEditor\apps\client\src\styles\joinRoom.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 11, 74
"d:\Learn\codeEditor\apps\client\src\styles\livekit.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 4, 11, 77
"d:\Learn\codeEditor\apps\client\src\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 31, 182
"d:\Learn\codeEditor\apps\client\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 56
"d:\Learn\codeEditor\apps\client\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\Learn\codeEditor\apps\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
